@relation full_data

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
14,50,1,5,0,0,0,0,0,0,0,0,0,0,8,3,0,43,50,22711,3.872044,0,2,15.4,57,Slow
1.84,2,1,3.68,38,16,6,8,4,4,0,0,0,0,50,1,0,57,50,484,3.991736,0,8,2.024,58,Slow
8,7,0,4.05,152,76,39,18,6,13,0,0,0,0,50,2,0,24,50,466,3.892704,0,1,8.8,60,Stable
9,8,0,4.03,3024,1491,717,430,178,208,0,0,0,0,50,3,0,38,50,4295,4.208615,0,3,9.9,60,Hot
7,22,0,4.46,52,35,9,5,3,0,0,0,0,0,50,2,0,51,50,2199,4.236471,0,3,7.7,25,Slow
5,9,1,4.67,6,5,0,1,0,0,0,0,0,0,50,2,0,140,50,2805,4.486631,0,8,5.5,58,Slow
3.72,11,1,4.29,178,104,41,20,7,6,1,0,1,0,50,1,0,21,50,32318,4.350176,0,8,4.092,4,Stable
3.81,59,0,3.74,1444,591,308,275,115,155,0,0,0,0,50,1,0,41,50,139223,3.933581,0,2,4.191,67,Stable
4.93,5,1,3.36,83,28,13,17,11,14,0,0,0,0,50,1,0,45,50,10600,3.867547,0,2,5.423,46,Stable
16,14,1,3.34,687,251,106,108,70,152,0,0,0,0,20,4,0,26,50,2363,3.853576,0,8,17.6,43,Stable
9,8,0,4.07,201,114,36,22,9,20,0,0,0,0,50,3,0,55,50,5819,4.151916,0,3,9.9,4,Stable
8,22,1,4.6,10,8,1,0,1,0,0,0,0,0,50,2,0,24,50,63,4.238095,0,8,8.8,60,Slow
8,11,1,3.82,1715,742,397,274,124,178,0,0,0,0,50,2,0,37,50,4907,4.240677,0,3,8.8,60,Hot
5,41,1,3.67,6,4,0,0,0,2,0,0,0,0,1,2,0,43,50,15348,4.013813,0,1,5.5,4,Slow
14,51,0,3.73,445,186,99,63,46,51,0,0,0,0,50,3,0,43,50,4622,4.014063,1,2,15.4,60,Stable
14,14,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,27,50,1134,3.955908,0,8,15.4,18,Slow
8,108,0,3.96,1559,786,304,223,109,137,0,0,0,0,50,2,0,41,50,5316,4.224605,0,2,8.8,60,Hot
9,8,0,3.47,593,233,97,95,53,115,0,0,0,0,50,3,0,32,50,1821,3.981329,0,2,9.9,69,Stable
16,88,0,3.67,9,5,1,0,1,2,0,0,0,0,50,4,0,32,50,16726,4.044482,1,3,17.6,4,Slow
7,6,0,3.88,2427,1122,520,386,173,226,0,0,0,0,50,2,0,48,50,32168,3.884544,0,2,7.7,46,Hot
3.66,4,0,4.48,5882,4130,994,409,148,201,1,0,1,0,50,1,0,49,50,100789,4.462302,1,8,4.026,46,Hot
6,76,0,3.61,613,234,125,121,47,86,0,0,0,0,50,2,0,41,50,37956,4.030377,0,2,6.6,3,Stable
4.81,5,0,3.84,903,449,140,135,77,102,0,0,0,0,3,1,0,40,50,45964,3.998651,0,1,5.291,52,Hot
8,7,1,3.52,118,46,20,20,13,19,0,0,0,0,50,3,0,39,50,612,4.109477,0,2,8.8,46,Stable
8,7,1,4.17,3090,1800,575,364,143,208,0,0,0,0,21,3,0,41,50,21892,4.146857,0,2,8.8,2,Hot
14,12,0,3.94,1863,963,334,250,119,197,0,0,0,0,50,4,0,41,50,31916,4.105778,1,2,15.4,46,Stable
4.67,4,1,3.92,2151,1116,357,300,142,236,0,0,0,0,50,1,0,138,50,96838,4.264659,0,8,5.137,11,Hot
1.8,2,1,4.2,15,7,4,4,0,0,0,0,0,0,1,1,0,41,50,50864,4.079644,1,1,1.98,43,Stable
