@relation categorized_units_sold_final

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute rating_five_proportion numeric
@attribute rating_four_proportion numeric
@attribute rating_three_proportion numeric
@attribute rating_two_proportion numeric
@attribute rating_one_proportion numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
5.9,5,0,3.64,0,0,0,0,4,1,0,30,50,2366,3.951817,0,8,6.49,25,0.448526,0.154165,0.154682,0.078117,0.164511,Hot
6,20,0,3.08,0,0,0,0,50,2,0,43,50,2776,3.931196,0,2,6.6,53,0.307692,0.153846,0.153846,0.076923,0.307692,Slow
7,6,1,4.41,1,0,1,0,2,2,0,35,50,126370,4.146957,1,3,7.7,24,0.662004,0.182928,0.093557,0.029064,0.032447,Hot
8,7,1,3.7,0,0,0,0,1,2,0,48,50,4178,3.93753,0,3,8.8,46,0.422365,0.198006,0.165242,0.088319,0.126068,Hot
12,11,0,3.81,0,0,0,0,50,3,0,13,50,2248,4.150356,0,2,13.2,6,0.478006,0.184751,0.140762,0.061584,0.134897,Stable
5.78,8,1,4,0,0,0,0,50,1,0,29,50,6555,4.184134,0,1,6.358,46,0.51673,0.194717,0.144906,0.060881,0.082767,Hot
12,17,0,3.94,0,0,0,0,50,3,0,43,50,1288,3.978261,0,2,13.2,60,0.488372,0.196382,0.173127,0.054264,0.087855,Stable
11,10,1,4.07,0,0,0,0,50,2,0,35,50,12974,3.965701,0,4,12.1,37,0.532573,0.209121,0.127687,0.057655,0.072964,Hot
8,51,0,4.29,1,0,1,0,50,2,0,43,50,5846,3.832535,0,2,8.8,46,0.612903,0.16129,0.16129,0.032258,0.032258,Slow
5.77,48,0,4.1,0,0,0,0,50,2,0,46,50,330405,4.067348,1,1,6.347,4,0.539144,0.200154,0.140715,0.056595,0.063392,Hot
9,8,0,3.7,0,0,0,0,44,3,0,20,50,15748,4.064643,0,3,9.9,25,0.451832,0.171204,0.148691,0.084817,0.143455,Hot
1.72,2,1,3.77,0,0,0,0,10,1,0,48,50,32168,3.884544,0,1,1.892,21,0.5,0.1,0.166667,0.133333,0.1,Slow
1.86,9,1,3.57,0,0,0,0,2,1,0,40,50,7248,3.943019,0,1,2.046,46,0.404762,0.214286,0.095238,0.119048,0.166667,Slow
14,92,1,4.54,0,0,0,0,50,3,0,36,50,54,4.185185,0,1,15.4,4,0.769231,0.153846,0,0,0.076923,Slow
3.69,4,0,3.64,0,0,0,0,5,1,0,24,50,1559,4.039128,0,1,4.059,53,0.448113,0.15566,0.150943,0.075472,0.169811,Stable
11,30,1,4.11,2,1,0,1,2,3,0,45,50,9541,4.21046,0,8,12.1,44,0.607143,0.142857,0.107143,0.035714,0.107143,Slow
9,8,1,3.18,0,0,0,0,10,3,0,26,50,288,3.729167,0,8,9.9,53,0.236111,0.263889,0.166667,0.111111,0.222222,Slow
6,8,0,3.96,0,0,0,0,50,2,0,43,50,54504,3.801684,1,4,6.6,4,0.511958,0.192078,0.139761,0.053812,0.102392,Hot
20,17,1,2.8,0,0,0,0,50,6,0,36,50,67,3.298507,0,8,22,24,0.133333,0.2,0.333333,0,0.333333,Slow
5.66,5,0,3.89,0,0,0,0,50,2,0,42,50,99283,4.285598,0,2,6.226,4,0.48062,0.208441,0.136951,0.064599,0.109388,Stable
8,65,0,3.97,0,0,0,0,1,2,0,33,50,239,3.882845,0,2,8.8,60,0.62069,0.034483,0.172414,0.034483,0.137931,Slow
8,7,1,3.61,0,0,0,0,10,2,0,39,50,40616,4.098557,0,8,8.8,35,0.38024,0.232036,0.152695,0.091317,0.143713,Stable
6,6,1,3.82,0,0,0,0,1,2,0,35,50,670,3.844776,0,2,6.6,25,0.462687,0.19403,0.171642,0.044776,0.126866,Stable
11,10,0,3.96,0,0,0,0,50,3,0,23,50,4610,4.252711,0,2,12.1,4,0.477506,0.217224,0.16581,0.070694,0.068766,Stable
7,6,1,4.2,0,0,0,0,3,2,0,26,50,247,3.94332,0,1,7.7,60,0.616822,0.121495,0.168224,0.028037,0.065421,Stable
11,10,0,3.77,0,0,0,0,50,3,0,31,50,13946,4.000143,0,1,12.1,53,0.427981,0.22196,0.160567,0.066116,0.123377,Hot
5.81,30,0,2.61,0,0,0,0,3,2,0,41,50,26473,3.894761,0,1,6.391,24,0.166667,0.111111,0.277778,0.055556,0.388889,Slow
14,12,0,3.93,0,0,0,0,36,4,0,26,50,32858,3.885538,0,8,15.4,11,0.484386,0.208418,0.153428,0.0611,0.092668,Hot
5,51,0,5,0,0,0,0,1,1,0,36,50,295,3.989831,0,1,5.5,4,?,?,?,?,?,Slow
5,5,1,4.3,0,0,0,0,3,2,0,22,50,10799,4.167979,0,8,5.5,15,0.6,0.2,0.1,0.1,0,Slow
11,10,0,4.12,0,0,0,0,50,2,0,21,50,8989,3.85193,1,2,12.1,37,0.574297,0.192771,0.096386,0.048193,0.088353,Stable
12,67,0,3.67,0,0,0,0,20,3,0,32,50,238,4.008403,0,1,13.2,46,0.666667,0,0,0,0.333333,Slow
5.68,5,0,4.5,0,0,0,0,50,2,0,109,50,160,4.5125,1,8,6.248,52,0.5,0.5,0,0,0,Slow
11,10,1,4,0,0,0,0,50,2,0,32,50,546,4.014652,0,2,12.1,4,0.583333,0.083333,0.166667,0.083333,0.083333,Slow
17,15,0,4.16,1,0,1,0,50,5,0,52,50,12881,4.352612,1,2,18.7,24,0.586184,0.185855,0.109211,0.040461,0.078289,Hot
7,43,0,3.71,0,0,0,0,9,2,0,40,50,9078,3.878167,0,2,7.7,52,0.47619,0.238095,0,0.095238,0.190476,Slow
12,85,1,4.75,0,0,0,0,18,3,0,35,50,57,4.175439,0,2,13.2,24,0.75,0.25,0,0,0,Slow
7,6,0,5,0,0,0,0,50,2,0,41,50,9703,3.970731,0,2,7.7,4,1,0,0,0,0,Slow
7,33,0,3,0,0,0,0,50,2,0,41,50,25222,4.001546,0,2,7.7,11,0,0.5,0,0.5,0,Slow
11,59,0,4.11,0,0,0,0,50,2,0,41,50,6715,4.057185,1,3,12.1,69,0.555556,0.177778,0.140741,0.074074,0.051852,Stable
12,43,0,3.59,0,0,0,0,50,3,0,42,50,3237,3.948409,0,3,13.2,32,0.259259,0.333333,0.259259,0.037037,0.111111,Slow
13,51,0,3.61,0,0,0,0,50,3,0,43,50,17244,3.946416,0,2,14.3,69,0.464567,0.125984,0.15748,0.055118,0.19685,Stable
2.72,9,0,5,0,0,0,0,1,1,0,33,50,378,3.597884,0,1,2.992,43,?,?,?,?,?,Slow
6,6,1,3.99,0,0,0,0,50,2,0,33,50,16013,4.108849,0,4,6.6,24,0.505625,0.20125,0.14875,0.0625,0.081875,Hot
9,56,1,4.03,0,0,0,0,3,3,0,19,50,49,3.714286,0,8,9.9,47,0.566667,0.2,0.066667,0.033333,0.133333,Slow
5,5,0,5,0,0,0,0,5,2,0,47,50,4,3.75,0,1,5.5,69,1,0,0,0,0,Slow
5.86,5,0,3.73,0,0,0,0,6,1,0,30,50,9308,3.993017,0,1,6.446,60,0.473333,0.153333,0.153333,0.073333,0.146667,Stable
2,2,1,3.99,0,0,0,0,1,1,0,23,50,12309,4.04517,1,2,2.2,24,0.530612,0.183673,0.122449,0.068367,0.094898,Hot
7,6,0,4.38,1,0,1,0,8,2,0,41,50,130598,3.946791,0,1,7.7,25,0.656627,0.178715,0.094378,0.032129,0.038153,Stable
5.66,6,0,3.08,0,0,0,0,50,2,0,35,50,2782,4.069015,0,2,6.226,4,0.230769,0.230769,0.230769,0,0.307692,Slow
13,17,0,4.11,0,0,0,0,6,3,0,43,50,4571,3.910742,0,1,14.3,46,0.568182,0.189394,0.111111,0.044192,0.087121,Stable
8,7,1,3.6,0,0,0,0,27,3,0,28,50,88193,4.080891,1,4,8.8,69,0.398724,0.192185,0.165072,0.100478,0.143541,Stable
11,10,1,3.78,0,0,0,0,5,3,0,35,50,433,3.896074,0,8,12.1,25,0.401338,0.244147,0.183946,0.073579,0.09699,Stable
8,7,0,4.05,0,0,0,0,50,2,0,31,50,19221,4.168097,0,2,8.8,4,0.521114,0.220575,0.125898,0.055368,0.077044,Hot
16,76,1,3.53,0,0,0,0,50,5,0,58,50,1088,4.272059,1,2,17.6,53,0.394737,0.236842,0.052632,0.131579,0.184211,Slow
11,10,0,4.6,0,0,0,0,12,3,0,42,50,38936,4.122997,1,8,12.1,25,0.6,0.4,0,0,0,Slow
8,7,0,4.16,1,0,1,0,50,2,0,32,50,43676,4.283611,0,2,8.8,4,0.569388,0.193294,0.126676,0.05,0.060641,Hot
14,12,1,4.04,0,0,0,0,50,4,0,41,50,26473,3.894761,0,3,15.4,29,0.555094,0.178794,0.12474,0.037422,0.10395,Stable
7,6,0,3.6,0,0,0,0,50,2,0,127,50,483,4.15528,0,2,7.7,4,0.4,0.16,0.2,0.12,0.12,Slow
12,11,1,3.89,0,0,0,0,25,3,0,50,50,59903,4.153665,1,4,13.2,46,0.479076,0.195728,0.157803,0.067132,0.100262,Hot
7,50,0,3.49,0,0,0,0,50,2,0,132,50,1290,4.011628,0,2,7.7,1,0.326531,0.22449,0.204082,0.102041,0.142857,Stable
2,56,1,3.07,0,0,0,0,2,1,0,26,50,4435,3.696054,0,2,2.2,29,0.392857,0.107143,0.035714,0.107143,0.357143,Slow
6,16,1,3.11,0,0,0,0,25,2,0,18,50,9177,3.874033,0,2,6.6,60,0.222222,0.222222,0.185185,0.185185,0.185185,Slow
8,7,1,4.07,0,0,0,0,50,3,0,38,50,2745,4.125683,0,2,8.8,30,0.554307,0.164794,0.149813,0.05618,0.074906,Stable
8,84,0,3.96,0,0,0,0,50,3,0,125,50,48654,4.204916,0,2,8.8,58,0.498661,0.206473,0.142522,0.065067,0.087277,Hot
8,25,0,4,0,0,0,0,50,3,0,43,50,13127,4.123943,0,1,8.8,29,0.59375,0.15625,0.03125,0.09375,0.125,Stable
11,22,1,3.97,0,0,0,0,50,2,0,30,50,4508,4.330745,0,1,12.1,4,0.501393,0.206128,0.13649,0.077994,0.077994,Stable
3.66,4,0,3.19,0,0,0,0,2,1,0,45,50,10600,3.867547,0,2,4.026,24,0.302778,0.157407,0.19537,0.118519,0.225926,Stable
1.68,2,1,3.67,0,0,0,0,1,1,0,40,50,1047,3.956065,0,8,1.848,60,0.5,0.166667,0.083333,0,0.25,Slow
13,11,0,2.5,0,0,0,0,36,3,0,29,50,31,3.774194,0,8,14.3,60,0,0.5,0,0,0.5,Slow
13,11,1,3.82,0,0,0,0,30,3,0,43,50,80093,4.006692,0,2,14.3,69,0.454545,0.272727,0.090909,0,0.181818,Stable
11,16,1,2.92,0,0,0,0,50,2,0,16,50,18,3.666667,0,2,12.1,67,0.166667,0.083333,0.5,0,0.25,Slow
7,9,0,3.75,0,0,0,0,2,2,0,44,50,30643,4.152727,1,2,7.7,4,0.461187,0.164384,0.173516,0.068493,0.13242,Stable
4.81,76,0,4.16,0,0,0,0,45,1,0,39,50,24564,3.92888,0,2,5.291,52,0.54067,0.229984,0.132695,0.044657,0.051994,Hot
9,8,0,4.29,0,0,0,0,50,3,0,55,50,5819,4.151916,0,3,9.9,67,0.625493,0.1682,0.118265,0.044678,0.043364,Stable
18,115,0,3.68,0,0,0,0,34,5,0,51,50,300,4.156667,0,3,19.8,53,0.412429,0.20339,0.175141,0.067797,0.141243,Slow
7,6,1,3.63,0,0,0,0,50,2,0,41,50,12033,4.024765,0,2,7.7,3,0.407654,0.169717,0.201331,0.091514,0.129784,Stable
5,8,1,3.06,0,0,0,0,1,1,0,40,50,8484,3.995167,0,8,5.5,36,0.290323,0.16129,0.16129,0.096774,0.290323,Stable
1.68,2,1,3.76,0,0,0,0,1,1,0,30,50,365,3.942466,0,1,1.848,4,0.392157,0.254902,0.196078,0.039216,0.117647,Stable
7,6,1,3.81,0,0,0,0,3,2,0,49,50,44,3.772727,0,8,7.7,11,0.380952,0.190476,0.285714,0.142857,0,Slow
6,7,0,2.67,0,0,0,0,46,2,0,8,50,1374,4.058952,0,2,6.6,46,0.333333,0,0,0.333333,0.333333,Slow
13,19,1,3.76,0,0,0,0,50,3,0,12,50,171,3.94152,0,2,14.3,4,0.463576,0.205298,0.10596,0.07947,0.145695,Stable
11,89,0,3.46,0,0,0,0,50,2,0,52,50,73595,4.385692,1,2,12.1,4,0.333333,0.208333,0.25,0,0.208333,Slow
7,6,0,3.29,0,0,0,0,4,2,0,46,50,3460,3.870809,0,2,7.7,25,0.368522,0.140115,0.151631,0.09405,0.245681,Stable
12,11,0,2,0,0,0,0,50,3,0,38,50,5301,4.001132,0,1,13.2,46,0,0.333333,0,0,0.666667,Slow
6,17,0,4.14,0,0,0,0,37,2,0,74,50,629,4.166932,0,3,6.6,4,0.537634,0.193548,0.16129,0.086022,0.021505,Slow
6,17,0,3.28,0,0,0,0,50,2,0,49,50,7851,4.216278,0,8,6.6,60,0.367483,0.111359,0.184855,0.109131,0.227171,Stable
8,7,1,3.89,0,0,0,0,25,3,0,28,50,88193,4.080891,1,8,8.8,24,0.555556,0.222222,0,0,0.222222,Slow
8,7,0,3.14,0,0,0,0,5,2,0,32,50,89,4.067416,0,1,8.8,69,0.310345,0.137931,0.206897,0.068966,0.275862,Slow
