@relation OMG

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
5.65,5,1,4.06,0,0,0,0,50,1,0,65,50,4.251721,1,2,6.215,4,Stable
3,3,0,3.4,0,0,0,0,3,1,0,36,50,3.891791,0,1,3.3,3,Slow
8,10,0,3.8,0,0,0,0,5,2,0,23,50,3.790698,0,1,8.8,11,Slow
5.74,59,0,3.99,0,0,0,0,3,1,0,43,50,4.181588,0,1,6.314,67,Stable
5,5,0,5,0,0,0,0,50,2,0,8,50,3.837209,0,2,5.5,60,Slow
8,7,1,3.61,0,0,0,0,50,2,0,38,50,4.03832,0,8,8.8,37,Hot
3.67,4,1,4.31,0,0,0,0,50,1,0,138,50,4.395747,1,8,4.037,4,Hot
8,7,1,3.69,0,0,0,0,17,3,0,33,50,4.278591,0,2,8.8,69,Stable
11,10,0,3.64,0,0,0,0,50,2,0,41,50,4.066326,0,2,12.1,11,Stable
8,7,0,4,0,0,0,0,4,3,0,42,50,4.159898,0,1,8.8,29,Slow
22,169,1,3.38,0,0,0,0,50,5,0,35,50,4.147415,0,3,24.2,60,Stable
8,7,1,3.7,0,0,0,0,50,3,0,41,50,4.066326,0,2,8.8,60,Hot
19,26,1,3.01,2,1,0,1,10,6,0,47,40,4.159667,0,4,20.9,37,Stable
11,10,0,3.67,0,0,0,0,50,2,0,39,50,4.063525,0,2,12.1,46,Stable
6,6,0,4.17,0,0,0,0,9,2,0,37,50,4.348798,0,1,6.6,46,Stable
7,56,1,4.16,0,0,0,0,15,2,0,41,50,4.001546,0,2,7.7,46,Stable
7,6,1,3.84,0,0,0,0,10,2,0,20,50,4.055029,0,1,7.7,60,Hot
8,11,0,2.81,0,0,0,0,50,2,0,17,50,3.580645,0,2,8.8,67,Slow
14,26,0,3.61,0,0,0,0,2,3,0,39,50,4.087339,0,1,15.4,25,Slow
6,6,1,3.67,0,0,0,0,5,2,0,38,50,4.040595,0,8,6.6,13,Slow
11,12,0,3.45,0,0,0,0,50,2,0,79,50,3.946309,0,2,12.1,4,Stable
6,21,0,3.18,0,0,0,0,13,2,0,34,50,4.11387,1,2,6.6,46,Stable
7,47,0,4.02,0,0,0,0,50,2,0,42,50,3.939482,0,3,7.7,37,Stable
6,76,1,4.29,1,0,1,0,50,2,0,32,50,4.183387,0,2,6.6,4,Hot
7,16,0,3.71,0,0,0,0,50,2,0,45,50,3.907168,0,2,7.7,53,Hot
9,65,1,3.7,0,0,0,0,50,3,0,36,50,3.96472,0,3,9.9,53,Stable
8,10,0,5,0,0,0,0,5,2,0,23,50,3.874016,0,1,8.8,69,Slow
11,84,1,3.61,0,0,0,0,5,2,0,27,50,3.855172,0,1,12.1,22,Slow
8,7,1,3.76,0,0,0,0,10,2,0,38,50,4.052504,1,3,8.8,28,Hot
18,17,0,4.17,0,0,0,0,18,5,0,39,50,4.250529,0,8,19.8,37,Hot
11,30,0,5,0,0,0,0,50,3,0,78,50,4.295124,0,2,12.1,58,Slow
4.83,51,1,2,0,0,0,0,3,1,0,39,50,3.824561,0,1,5.313,60,Slow
8,7,1,4.57,0,0,0,0,2,3,0,37,50,3.814754,0,1,8.8,8,Slow
5.85,13,1,3.16,0,0,0,0,9,2,0,38,50,3.894737,0,1,6.435,11,Stable
11,10,1,3.96,2,1,1,0,50,2,0,27,50,4.277078,0,1,12.1,53,Slow
9,34,1,4.44,0,0,0,0,50,3,0,39,50,4.12491,0,3,9.9,4,Slow
15,101,0,3.91,1,1,0,0,22,4,0,40,50,4.160274,1,4,16.5,69,Stable
5,5,0,4.06,0,0,0,0,50,2,0,39,50,4.158238,0,3,5.5,60,Stable
8,7,1,3.52,0,0,0,0,17,3,0,41,50,3.933581,0,2,8.8,46,Slow
5.69,5,0,4.26,1,0,1,0,50,1,0,51,50,4.236471,0,3,6.259,4,Stable
6,41,1,4.1,0,0,0,0,47,2,0,41,50,3.949224,0,2,6.6,60,Stable
11,89,0,3.77,0,0,0,0,4,2,0,37,50,4.253287,0,2,12.1,45,Slow
1.72,56,1,4,0,0,0,0,5,1,0,27,36,4.09716,0,8,1.892,53,Slow
5.78,26,0,3.84,0,0,0,0,50,2,0,37,50,3.982249,0,2,6.358,60,Hot
11,10,0,4.23,0,0,0,0,50,2,0,48,50,4.274866,0,3,12.1,4,Stable
12,11,0,3.67,0,0,0,0,50,3,0,24,50,3.891954,0,2,13.2,60,Stable
8,42,0,3.5,0,0,0,0,50,3,0,41,50,3.875963,0,2,8.8,43,Stable
1.89,2,0,3.46,0,0,0,0,1,1,0,33,50,4.105556,0,1,2.079,4,Slow
12,17,0,4.21,0,0,0,0,50,3,0,43,50,3.910343,1,3,13.2,60,Stable
6,6,1,3.6,0,0,0,0,2,2,0,20,50,3.938201,0,1,6.6,46,Hot
4,4,1,4.28,1,0,1,0,4,1,0,18,50,4.156198,0,1,4.4,39,Stable
7,33,0,2.75,0,0,0,0,29,2,0,43,50,3.917449,1,2,7.7,11,Slow
8,7,0,3.9,0,0,0,0,50,3,0,21,50,4.318315,1,8,8.8,52,Slow
5,5,0,4.5,0,0,0,0,50,2,0,45,50,3.867547,0,2,5.5,46,Slow
5.84,5,0,3.45,0,0,0,0,43,1,0,48,50,3.884544,0,2,6.424,25,Hot
8,13,0,3.99,0,0,0,0,50,3,0,44,50,3.975624,0,2,8.8,25,Hot
19,21,0,4.09,0,0,0,0,1,6,0,40,50,4.092914,1,8,20.9,11,Stable
11,10,1,3.54,0,0,0,0,50,2,0,42,50,4.155932,1,5,12.1,4,Slow
3.85,10,0,3.33,0,0,0,0,7,1,0,25,50,4.039474,0,8,4.235,52,Slow
9,48,1,4.01,0,0,0,0,50,3,0,25,50,3.748794,0,3,9.9,52,Stable
8,9,0,5,0,0,0,0,5,3,0,38,50,4.052504,1,8,8.8,43,Slow
11,10,0,4,0,0,0,0,6,3,0,36,50,4.004267,1,3,12.1,60,Stable
6,13,1,3.85,0,0,0,0,50,2,0,40,50,4.084969,0,2,6.6,53,Hot
5,33,0,3.98,0,0,0,0,50,1,0,41,50,4.036081,0,2,5.5,43,Hot
16,14,1,4.05,0,0,0,0,50,5,0,36,50,4.217899,0,2,17.6,60,Slow
13,11,0,3.91,0,0,0,0,50,3,0,28,50,3.473684,0,8,14.3,69,Slow
9,34,1,3.14,0,0,0,0,50,3,0,40,50,3.534647,0,1,9.9,39,Slow
